"value"	"freq"
"1"	"car"	337
"2"	"cha"	368
"3"	"com"	600
"4"	"con"	1220
"5"	"cor"	261
"6"	"dec"	254
"7"	"dis"	1002
"8"	"exp"	276
"9"	"for"	403
"10"	"gra"	304
"11"	"imp"	422
"12"	"inc"	297
"13"	"ins"	313
"14"	"int"	546
"15"	"mis"	395
"16"	"out"	281
"17"	"ove"	439
"18"	"par"	402
"19"	"per"	423
"20"	"pla"	264
"21"	"pre"	610
"22"	"pro"	811
"23"	"rec"	390
"24"	"rep"	298
"25"	"res"	362
"26"	"sta"	397
"27"	"str"	358
"28"	"sub"	317
"29"	"tra"	498
"30"	"und"	315
